# TDLDA
# time in fs  dipole-momenta: x   y   z
  15.14920  -0.24541595E-07   0.97300523E-09   0.79917745E+00
  15.19760  -0.28406890E-07   0.12562067E-08   0.53884129E+00
  15.24600  -0.31197771E-07   0.14688353E-08   0.25553818E+00
  15.29440  -0.32792032E-07   0.16046508E-08  -0.39365693E-01
  15.34280  -0.33116041E-07   0.16617526E-08  -0.33416743E+00
  15.39120  -0.32146478E-07   0.16420566E-08  -0.61732167E+00
  15.43960  -0.29909486E-07   0.15506538E-08  -0.87782435E+00
  15.48800  -0.26479184E-07   0.13953097E-08  -0.11055231E+01
  15.53640  -0.21975317E-07   0.11858609E-08  -0.12913770E+01
  15.58480  -0.16561001E-07   0.93367042E-09  -0.14277079E+01
  15.63320  -0.10440549E-07   0.65115975E-09  -0.15084976E+01
  15.68160  -0.38550923E-08   0.35124322E-09  -0.15297106E+01
  15.73000   0.29252361E-08   0.46740816E-10  -0.14895937E+01
  15.77840   0.96123058E-08  -0.25017226E-09  -0.13889125E+01
  15.82680   0.15913639E-07  -0.52843778E-09  -0.12310818E+01
  15.87520   0.21548189E-07  -0.77853275E-09  -0.10221396E+01
  15.92360   0.26263091E-07  -0.99282484E-09  -0.77051806E+00
  15.97200   0.29848998E-07  -0.11657336E-08  -0.48659946E+00
  16.02040   0.32152765E-07  -0.12937327E-08  -0.18213443E+00
  16.06880   0.33084584E-07  -0.13751966E-08   0.13040892E+00
  16.11720   0.32619142E-07  -0.14100550E-08   0.43846126E+00
  16.16560   0.30792496E-07  -0.13993393E-08   0.72985153E+00
  16.21400   0.27696755E-07  -0.13447205E-08   0.99317636E+00
  16.26240   0.23474200E-07  -0.12481390E-08   0.12180896E+01
  16.31080   0.18310435E-07  -0.11115660E-08   0.13955371E+01
  16.35920   0.12428095E-07  -0.93725063E-09   0.15180208E+01
  16.40760   0.60802073E-08  -0.72827586E-09   0.15799333E+01
  16.45600  -0.45865602E-09  -0.48912021E-09   0.15779165E+01
  16.50440  -0.69038314E-08  -0.22607741E-09   0.15111858E+01
  16.55280  -0.12974067E-07   0.52514262E-10   0.13817615E+01
  16.60120  -0.18406406E-07   0.33632975E-09   0.11945515E+01
  16.64960  -0.22971595E-07   0.61344418E-09   0.95722499E+00
  16.69800  -0.26487866E-07   0.87100102E-09   0.67983522E+00
  16.74640  -0.28830438E-07   0.10960865E-08   0.37422400E+00
  16.79480  -0.29936417E-07   0.12764589E-08   0.53317670E-01
  16.84320  -0.29803328E-07   0.14010583E-08  -0.26958603E+00
  16.89160  -0.28482654E-07   0.14604044E-08  -0.58143241E+00
  16.94000  -0.26070712E-07   0.14469913E-08  -0.86986713E+00
  16.98840  -0.22699562E-07   0.13559118E-08  -0.11235682E+01
  17.03680  -0.18528171E-07   0.11856431E-08  -0.13324886E+01
  17.08520  -0.13735097E-07   0.93885250E-09  -0.14880728E+01
  17.13360  -0.85137385E-08   0.62304728E-09  -0.15835488E+01
  17.18200  -0.30682564E-08   0.25075753E-09  -0.16142992E+01
  17.23040   0.23914234E-08  -0.16090578E-09  -0.15782432E+01
  17.27880   0.76560032E-08  -0.59120432E-09  -0.14761554E+01
  17.32720   0.12524631E-07  -0.10170850E-08  -0.13118439E+01
  17.37560   0.16814066E-07  -0.14147156E-08  -0.10921233E+01
  17.42400   0.20368437E-07  -0.17611386E-08  -0.82652089E+00
  17.47240   0.23067064E-07  -0.20359483E-08  -0.52671017E+00
  17.52080   0.24829175E-07  -0.22229795E-08  -0.20577016E+00
  17.56920   0.25614459E-07  -0.23117397E-08   0.12259771E+00
  17.61760   0.25419380E-07  -0.22984674E-08   0.44477608E+00
  17.66600   0.24271534E-07  -0.21865651E-08   0.74777977E+00
  17.71440   0.22224355E-07  -0.19861223E-08   0.10196405E+01
  17.76280   0.19353457E-07  -0.17125290E-08   0.12496786E+01
  17.81120   0.15754706E-07  -0.13845791E-08   0.14286960E+01
  17.85960   0.11545047E-07  -0.10226306E-08   0.15492023E+01
  17.90800   0.68643531E-08  -0.64725844E-09   0.16057434E+01
  17.95640   0.18758545E-08  -0.27825452E-09   0.15952947E+01
  18.00480  -0.32360419E-08   0.66139476E-10   0.15176297E+01
  18.05320  -0.82708813E-08   0.36994437E-09   0.13755770E+01
  18.10160  -0.13020451E-07   0.62018445E-09   0.11750795E+01
  18.15000  -0.17280074E-07   0.80766360E-09   0.92498976E+00
  18.19840  -0.20861303E-07   0.92760149E-09   0.63656805E+00
  18.24680  -0.23603993E-07   0.97987539E-09   0.32274464E+00
  18.29520  -0.25385710E-07   0.96862153E-09  -0.27076000E-02
  18.34360  -0.26127029E-07   0.90107185E-09  -0.32594842E+00
  18.39200  -0.25793585E-07   0.78592234E-09  -0.63369157E+00
  18.44040  -0.24395598E-07   0.63189412E-09  -0.91364629E+00
  18.48880  -0.21985578E-07   0.44701384E-09  -0.11548212E+01
  18.53720  -0.18654674E-07   0.23869846E-09  -0.13477264E+01
  18.58560  -0.14529910E-07   0.14182964E-10  -0.14845482E+01
  18.63400  -0.97731927E-08  -0.21925728E-09  -0.15594067E+01
  18.68240  -0.45798549E-08  -0.45438223E-09  -0.15687102E+01
  18.73080   0.82547762E-09  -0.68431371E-09  -0.15115301E+01
  18.77920   0.61968126E-08  -0.90291978E-09  -0.13898996E+01
  18.82760   0.11278897E-07  -0.11050605E-08  -0.12089420E+01
  18.87600   0.15823134E-07  -0.12865368E-08  -0.97674975E+00
  18.92440   0.19605381E-07  -0.14437309E-08  -0.70396562E+00
  18.97280   0.22442481E-07  -0.15730726E-08  -0.40309243E+00
  19.02120   0.24204354E-07  -0.16707220E-08  -0.87658096E-01
  19.06960   0.24819353E-07  -0.17327293E-08   0.22860299E+00
  19.11800   0.24273804E-07  -0.17557362E-08   0.53242565E+00
  19.16640   0.22607944E-07  -0.17378305E-08   0.81150481E+00
  19.21480   0.19910125E-07  -0.16790127E-08   0.10548289E+01
